comment_clean,comment,auto_label,confidence,label_filtered,rating,source
hàng rất chất lượng nên mua nha cả nhà. có hoá đơn đầy đủ nên hài lòng,Hàng rất chất lượng nên mua nha cả nhà. Có hoá đơn đầy đủ nên hài lòng,POS,0.992922783,POS,5,thegioididong
tv rất to rõ giao hàng hơi chậm nhưng chất lượng hình ảnh rất đẹp,TV rất to rõ giao hàng hơi chậm nhưng chất lượng hình ảnh rất đẹp,POS,0.990304828,POS,4,thegioididong
"ko có điểm gì chê, phù hợp công việc trình chiếu phòng họp vsf giải trí","Ko có điểm gì chê, phù hợp công việc trình chiếu phòng họp vsf giải trí",POS,0.991597891,POS,5,thegioididong
hàng giao nhanh. nhân viên giao hàng thân thiện. nói chung khá vừa lòng với sản phẩm.,Hàng giao nhanh. Nhân viên giao hàng thân thiện. Nói chung khá vừa lòng với sản phẩm.,POS,0.989313185,POS,5,thegioididong
"giao hàng nhanh, tivi xem test 1 hôm thì chưa thấy vấn đề gì","Giao hàng nhanh, tivi xem test 1 hôm thì chưa thấy vấn đề gì",POS,0.94711256,POS,5,thegioididong
"sản phẩm vừa rẻ hơn cách shop khác , tivi thật tuyệt . giao hàng rất nhanh","Sản phẩm vừa rẻ hơn cách shop khác , TiVi thật tuyệt . Giao hàng rất nhanh",POS,0.992839932,POS,5,thegioididong
đã nhận được hàng shop gửi hàng nhanh sản phẩm đúng với những hình ảnh của shop đăng,Đã nhận được hàng shop gửi hàng Nhanh sản phẩm đúng với những hình ảnh của shop đăng,POS,0.969041467,POS,5,thegioididong
giờ mới dùng lên chưa biết thế nào mong là ổn,giờ mới dùng lên chưa biết thế nào mong là ổn,NEU,0.787626266,NEU,5,thegioididong
"tivi mới luôn, xem khá nét, thích màu samsung hơn lg. mà giá sale rất tốt. bọc kỹ.","Tivi mới luôn, xem khá nét, thích màu samsung hơn lg. Mà giá sale rất tốt. Bọc kỹ.",POS,0.992908239,POS,5,thegioididong
"đúng với mô tả, trên cả tuyệt vời. shop rất nhiệt tình, vừa bán giá rẻ, mà còn chất lượng. lần sau tui sẽ tiếp tục ủng hộ shop","Đúng với mô tả, trên cả tuyệt vời. Shop rất nhiệt tình, vừa bán giá rẻ, mà còn chất lượng. Lần sau tui sẽ tiếp tục ủng hộ shop",POS,0.992922068,POS,5,thegioididong
chất lượng sony không có gì để bình luận. giá săn sale nên quá tốt. giao hàng siêu nhanh.,Chất lượng SONY không có gì để bình luận. Giá săn SALE nên quá tốt. Giao hàng siêu nhanh.,POS,0.992852628,POS,5,thegioididong
"hình ảnh sắc nét sống động, chất lượng i mô tả shop đóng hàng rất kĩ có bảo hành","Hình ảnh sắc nét sống động, chất lượng i mô tả shop đóng hàng rất kĩ có bảo hành",POS,0.992934346,POS,5,thegioididong
"shop đóng gói cẩn thận,giao hàng nhanh,tư vấn nhiệt tình và ktv cũng ok,mình mua của nk nhiều nên cũng yên tâm về chất lượng","Shop đóng gói cẩn thận,giao hàng nhanh,tư vấn nhiệt tình và ktv cũng ok,mình mua của NK nhiều nên cũng yên tâm về chất lượng",POS,0.99282819,POS,5,thegioididong
quá toẹt vời tivi to vật vã hình ảnh rõ tới lỗ chân lông,Quá toẹt vời Tivi to vật vã Hình ảnh rõ tới lỗ chân lông,NEG,0.987140596,NEG,5,thegioididong
tivi có ở hn ko shop,tivi có ở hn ko shop,NEU,0.89407891,NEU,5,thegioididong
hang ok,Hang ok,POS,0.870618701,POS,5,thegioididong
"mới năm 2024 luôn xem khá nét, thích màu samsung hơn lg. mà giá sale rất tốt. bọc kỹ.","Mới năm 2024 luôn xem khá nét, thích màu samsung hơn lg. Mà giá sale rất tốt. Bọc kỹ.",POS,0.992891669,POS,5,thegioididong
giao chuẩn hàng rất nhanh. tivi to đẹp đubgs mẫu mã sản phẩm. có cải tiến công nghệ cao nhất. mong dùng bên theo thoi jan,Giao chuẩn hàng rất nhanh. Tivi to đẹp đubgs mẫu mã sản phẩm. Có cải tiến công nghệ cao nhất. Mong dùng bên theo thoi jan,POS,0.992854655,POS,5,thegioididong
"giao hàng nhanh, tivi nét ổn, vì chỉ là 4k thường, nét hơn chắc phải dòng qled hoặc mã cao cấp hơn","Giao hàng nhanh, tivi nét ổn, vì chỉ là 4k thường, nét hơn chắc phải dòng QLED hoặc mã cao cấp hơn",POS,0.934779465,POS,4,thegioididong
"hàng đẹp date sản xuất mới. so với giá tiền thì chắc vô địch rồi, mọi ngưởi nên mua","Hàng đẹp date sản xuất mới. So với giá tiền thì chắc vô địch rồi, mọi ngưởi nên mua",POS,0.992595732,POS,5,thegioididong
"hình ảnh tv đẹp lung linh , kiểu dáng sang trọng, giá cả rẻ nhờ flash sales, giao hàng nhanh, sẽ ủng hộ shop nk dài dài","Hình ảnh tv đẹp lung linh , kiểu dáng sang trọng, giá cả rẻ nhờ flash sales, giao hàng nhanh, sẽ ủng hộ shop NK dài dài",POS,0.992895782,POS,5,thegioididong
"màn hình to, đẹp, loa âm thanh lớn, coi đã mắt, với giá này thì khá ok rồi","Màn hình to, đẹp, loa âm thanh lớn, coi đã mắt, với giá này thì khá ok rồi",POS,0.992927969,POS,5,thegioididong
tivi nguyên đai nguyên kiện. bao gói cẩn thận. giao hàng nhanh. bảo hành chính hãng 2 năm. quá ok,Tivi nguyên đai nguyên kiện. Bao gói cẩn thận. Giao hàng nhanh. Bảo hành chính hãng 2 năm. Quá Ok,POS,0.963527024,POS,5,thegioididong
"giao hàng siêu nhanh, sp chính hãng , giá săn sale siêu rẻ. màu sắc đẹp, âm thanh hay. nk là số 1","Giao hàng siêu nhanh, sp chính hãng , giá săn sale siêu rẻ. Màu sắc đẹp, âm thanh hay. NK là số 1",POS,0.992896616,POS,5,thegioididong
"tv tốt, giá cả hợp lý, to nhìn sướng, phù hợp với nhu cầu","TV tốt, giá cả hợp lý, to nhìn sướng, phù hợp với nhu cầu",POS,0.99289459,POS,5,thegioididong
"đã nhận hàng,giờ mới đánh giá,giao hàng nhanh đóng gói cẩn thận!mua được với giá rẻ,quá thích!","Đã nhận hàng,giờ mới đánh giá,giao hàng nhanh đóng gói cẩn thận!mua được với giá rẻ,quá thích!",POS,0.992896378,POS,5,thegioididong
màn hình sắc nét màu hình rất chấn thực lại còn săn dc mã nên giảm nhiều,màn hình sắc nét màu hình rất chấn thực lại còn săn dc mã nên giảm nhiều,POS,0.978196919,POS,5,thegioididong
"sản phẩm đẹp, mặc sắc tốt","Sản phẩm đẹp, mặc sắc tốt",POS,0.992911518,POS,5,thegioididong
"yên tăm đặt hàng bên này. giao hàng nhanh, được bảo hành chính hãng nên yên tâm, loa nghe hay, màn hình to và rõ nét nè","Yên tăm đặt hàng bên này. Giao hàng nhanh, được bảo hành chính hãng nên yên tâm, loa nghe hay, màn hình to và rõ nét nè",POS,0.992883205,POS,5,thegioididong
giao hàng ok nhanh gọn lắp đặt. cskh nhiệt tình gọi điện hỏi han lắp đặt rất ok,Giao hàng ok nhanh gọn lắp đặt. cskh nhiệt tình gọi điện hỏi han lắp đặt rất ok,POS,0.991022825,POS,5,thegioididong
sản phẩm tốt,Sản phẩm tốt,POS,0.981807351,POS,5,thegioididong
"shop tận tình, trả lời tin nhắn nhanh, lắp đặt nhanh gọn, nhỏ gọn, truy cập được rất nhiều kênh","Shop tận tình, trả lời tin nhắn nhanh, lắp đặt nhanh gọn, nhỏ gọn, Truy cập được rất nhiều kênh",POS,0.992403746,POS,5,thegioididong
"shop giao hàng nhanh, giá tốt hơn so với thị trường, bh chính hãng đầy đủ","Shop giao hàng nhanh, giá tốt hơn so với thị trường, BH chính hãng đầy đủ",POS,0.991998613,POS,5,thegioididong
"giao hàng nhanh, thời gian phản hồi và trả lời tin nhắn kịp thời, đúng lúc. chăm sóc khách hàng nhiệt tình, cụ thể và rõ ràng","Giao hàng nhanh, thời gian phản hồi và trả lời tin nhắn kịp thời, đúng lúc. Chăm sóc khách hàng nhiệt tình, cụ thể và rõ ràng",POS,0.991047919,POS,5,thegioididong
tv siêu đẹp. cskh chu đáo,TV siêu đẹp. CSKH chu đáo,POS,0.99292469,POS,5,thegioididong
"tivi hiện đại, cảm ứng giọng nói tốt.","Tivi hiện đại, cảm ứng giọng nói tốt.",POS,0.991870522,POS,5,thegioididong
"giao hàng nhanh, sản phẩm tốt","Giao hàng nhanh, sản phẩm tốt",POS,0.986844003,POS,5,thegioididong
"sản phẩm ok ,y hình , đóng gói cẩn thận shop giao nhanh, lần sau ủng hộ tiếp","Sản phẩm ok ,y hình , đóng gói cẩn thận shop giao nhanh, lần sau ủng hộ tiếp",POS,0.992473125,POS,5,thegioididong
nói chung giá rẻ mà có androidtv là ngon lắm rồi,Nói chung giá rẻ mà có androidtv là ngon lắm rồi,POS,0.987478852,POS,4,thegioididong
"âm thanh rõ, lắp ráp đơn giản. shop giao hàng nhanh, nhân viên nhiệt tình, tư vấn và chăm sóc kh rất chuyên nghiệp","Âm thanh rõ, lắp ráp đơn giản. Shop giao hàng nhanh, nhân viên nhiệt tình, tư vấn và chăm sóc KH rất chuyên nghiệp",POS,0.992758989,POS,5,thegioididong
sp tốt,Sp tốt,POS,0.939466178,POS,5,thegioididong
"giá rẻ màu đúng như mô tả, sẽ ủng hộ shop tiếp nếu có nhu cầu lần sau","Giá rẻ màu đúng như mô tả, sẽ ủng hộ shop tiếp nếu có nhu cầu lần sau",POS,0.990805387,POS,5,thegioididong
sản phẩm ok nha! đã mua nk nhiều lần mình sẽ ủng hộ shop tiếp,Sản phẩm ok nha! Đã mua NK nhiều lần mình sẽ ủng hộ shop tiếp,POS,0.992831707,POS,5,thegioididong
hàng tốt đạt yêu cầu đúng như giới thiệu. có dịp sẽ giới thiệu đến bạn bè,Hàng tốt đạt yêu cầu đúng như giới thiệu. Có dịp sẽ giới thiệu đến bạn bè,POS,0.988654733,POS,5,thegioididong
"hài lòng về mọi thứ, từ dịch vụ, chất lượng sản phẩm, đơn vị giao hàng .","Hài lòng về mọi thứ, từ dịch vụ, chất lượng sản phẩm, đơn vị giao hàng….",POS,0.990205228,POS,5,thegioididong
"giao hàng nhanh, đóng gói cẩn thận, tivi hiển thị rất ok","Giao hàng nhanh, đóng gói cẩn thận, tivi hiển thị rất ok",POS,0.992527604,POS,5,thegioididong
"shop đóng gói cẩn thận và giao hàng nhanh. tivi xem oke, chất lượng tốt nha","Shop đóng gói cẩn thận và giao hàng nhanh. Tivi xem oke, chất lượng tốt nha",POS,0.992449045,POS,5,thegioididong
"tivi chất lượng tốt, đang cảm nhận thêm!","tivi chất lượng tốt, đang cảm nhận thêm!",POS,0.992943466,POS,5,thegioididong
"vận chuyển nhanh, đóng gói cẩn thận. nói chung ưng bụng, ko có gì để chê.","Vận chuyển nhanh, đóng gói cẩn thận. Nói chung ưng bụng, ko có gì để chê.",POS,0.992925882,POS,5,thegioididong
"giao hàng nhanh đóng gói cận thận ok, đã mua nhiều lần nhiều sản phẩm từ nk ok","Giao hàng nhanh đóng gói cận thận OK, đã mua nhiều lần nhiều sản phẩm từ NK OK",POS,0.992510319,POS,5,thegioididong
"shop bán hàng uy tính cực nha, mình hay mua ở shop chất lượng ổn lắm ! giao nhanh gói kỹ càng ko bị móp méo gì cả","Shop bán hàng uy tính cực nha, mình hay mua ở shop chất lượng ổn lắm -! Giao nhanh gói kỹ càng ko bị móp méo gì cả",POS,0.992916107,POS,5,thegioididong
giao hàng nhanh đóng gói cẩn thận,Giao hàng nhanh đóng gói cẩn thận,POS,0.974863946,POS,5,thegioididong
"giao hàng nhanh, đóng gói cẩn thận. nhân viên chăm sóc và lắp đặt của nk tận tình.","Giao hàng nhanh, đóng gói cẩn thận. Nhân viên chăm sóc và lắp đặt của NK tận tình.",POS,0.990043521,POS,5,thegioididong
tivi siêu đẹp từ chất lượng đến giá cả quá ưng ạ 10 điểm không có nhưng,Tivi siêu đẹp từ chất lượng đến giá cả quá ưng ạ 10 điểm không có nhưng,POS,0.992911994,POS,5,thegioididong
"tv mới 100 , màu đẹp tuy không bằng những dòng cao cấp. hợp với giá tiền, giao hàng nhanh. đóng gói kỹ. giá khuyêns mãi tốt","Tv mới 100%, màu đẹp tuy không bằng những dòng cao cấp. Hợp với giá tiền, Giao hàng nhanh. Đóng gói kỹ. Giá khuyêns mãi tốt",POS,0.992863834,POS,5,thegioididong
"dòng smart tivi qled samsung 4k 65 của nguyễn kim rất tốt, chất lượng thì khỏi phải bàn cãi. hình ảnh nét căng, không bị nhòe, mờ, xem lâu không bị mỏi mắt nhờ độ phân giải cao. lúc mua còn được nhân viên lắp đặt miễn phí và hướng dẫn nhiệt tình. cảm ơn nguyễn kim nhiều.","Dòng Smart Tivi QLED Samsung 4K 65 của Nguyễn Kim rất tốt, chất lượng thì khỏi phải bàn cãi. Hình ảnh nét căng, không bị nhòe, mờ, xem lâu không bị mỏi mắt nhờ độ phân giải cao. Lúc mua còn được nhân viên lắp đặt miễn phí và hướng dẫn nhiệt tình. Cảm ơn Nguyễn Kim nhiều.",POS,0.992811382,POS,5,thegioididong
"tháng này làm ăn được nên tự thưởng cho cả gia đình 1 em smart tivi qled samsung 4k 65 ở nguyễn kim và luôn hài lòng về dịch vụ ở đây. chất lượng thì không có gì để chê cả, mẫu mã tối giản thanh lịch, hiện đại. mình vote cho e ý nha.","Tháng này làm ăn được nên tự thưởng cho cả gia đình 1 em Smart Tivi QLED Samsung 4K 65 ở Nguyễn Kim và luôn hài lòng về dịch vụ ở đây. Chất lượng thì không có gì để chê cả, mẫu mã tối giản thanh lịch, hiện đại. Mình vote cho e ý nha.",POS,0.992892623,POS,5,thegioididong
"cảm thấy ưng ý lắm nguyễn kim ạ, chiếc smart tivi qled samsung 4k 65 cả nhà tôi cứ thích mãi từ lúc mua về cho đến giờ, tivi được bọc cẩn thận, chất lượng đảm bảo, mẫu mã tinh tế, hình ảnh âm thanh hài hòa, nguyễn kim giao hàng miễn phí nữa, chất lượng dịch vụ tốt lắm, sản phẩm chất lượng, yêu nguyễn kim.","Cảm thấy ưng ý lắm Nguyễn Kim ạ, chiếc Smart Tivi QLED Samsung 4K 65 cả nhà tôi cứ thích mãi từ lúc mua về cho đến giờ, tivi được bọc cẩn thận, chất lượng đảm bảo, mẫu mã tinh tế, hình ảnh âm thanh hài hòa, Nguyễn Kim giao hàng miễn phí nữa, chất lượng dịch vụ tốt lắm, sản phẩm chất lượng, yêu Nguyễn Kim.",POS,0.99292326,POS,5,thegioididong
"đang phân vân chưa biết mua tivi nào chất lượng tốt thì được thằng em dẫn ra nguyễn kim mua chiếc smart tivi qled samsung 4k 65. mới đầu còn hoài nghi về chất lượng của nó nhưng đến lúc dùng rồi thì mình mới cảm thấy nó cực kỳ tốt. hình ảnh, âm thanh cực kỳ sống động, độ phân giải 4k nên hình ảnh rất chân thực. xem bóng đá và phim hành động cực thích. cả nhà mình đều thích nó.","Đang phân vân chưa biết mua tivi nào chất lượng tốt thì được thằng em dẫn ra Nguyễn Kim mua chiếc Smart Tivi QLED Samsung 4K 65. Mới đầu còn hoài nghi về chất lượng của nó nhưng đến lúc dùng rồi thì mình mới cảm thấy nó cực kỳ tốt. Hình ảnh, âm thanh cực kỳ sống động, độ phân giải 4K nên hình ảnh rất chân thực. Xem bóng đá và phim hành động cực thích. Cả nhà mình đều thích nó.",POS,0.992744923,POS,5,thegioididong
"smart tivi qled samsung 4k 65 này chất lượng quá ok, kiểu dáng thanh lịch, đa dạng kích cỡ cho bạn lựa chọn. nguyễn kim hỗ trợ tôi trả góp ko lãi suất nữa nên tôi rất hài lòng.","Smart Tivi QLED Samsung 4K 65 này chất lượng quá ok, kiểu dáng thanh lịch, đa dạng kích cỡ cho bạn lựa chọn. Nguyễn Kim hỗ trợ tôi trả góp ko lãi suất nữa nên tôi rất hài lòng.",POS,0.992892623,POS,5,thegioididong
"mọi người ơi sản phẩm smart tivi qled samsung 4k 65 đẹp lắm, mua đi mọi người ạ rất xứng đáng đồng tiền, tivi đẹp, được bảo hành dài hạn, shop giao hàng nhanh, tivi được đóng gói cẩn thận, tivi rất nhiều tính năng hiện đại, chạy mượt mà, hình ảnh cực nét, cảm ơn nguyễn kim rất nhiều vì sự chu đáo và uy tín.","Mọi người ơi sản phẩm Smart Tivi QLED Samsung 4K 65 đẹp lắm, mua đi mọi người ạ rất xứng đáng đồng tiền, tivi đẹp, được bảo hành dài hạn, shop giao hàng nhanh, tivi được đóng gói cẩn thận, tivi rất nhiều tính năng hiện đại, chạy mượt mà, hình ảnh cực nét, cảm ơn Nguyễn Kim rất nhiều vì sự chu đáo và uy tín.",POS,0.992928207,POS,5,thegioididong
"kiểu dáng trang nhả, thiết kế rất hiện đại,tính năng thật nổi trội","kiểu dáng trang nhả, thiết kế rất hiện đại,tính năng thật nổi trội",POS,0.992849469,POS,5,thegioididong
"sản phẩm đẹp, giá cả hấp dẫn","Sản phẩm đẹp, giá cả hấp dẫn",POS,0.992872953,POS,5,thegioididong
"tv đẹp, chất lượng và giá rẻ","Tv đẹp, chất lượng và giá rẻ",POS,0.992753565,POS,5,thegioididong
yêu thích sản phẩm,Yêu thích sản phẩm,POS,0.992156744,POS,5,thegioididong
xem hình ảnh đẹp mới mua không biết về sau có bền bỉ không rõ,Xem hình ảnh đẹp mới mua không biết về sau có bền bỉ không rõ,POS,0.932070851,POS,5,thegioididong
sản phẩm chất lượng,Sản phẩm chất lượng,POS,0.992637038,POS,5,thegioididong
tuyệt vời,Tuyệt vời,POS,0.992883682,POS,5,thegioididong
đã nhận đc hàng .. chưa khui mở sử dụng nên để đánh giá sau .. hy vọng dùng bền bỉ,đã nhận đc hàng .. chưa khui mở sử dụng nên để đánh giá sau .. hy vọng dùng bền bỉ,POS,0.930452287,POS,4,thegioididong
"mua thêm 1 cái nữa xài cho đã, giá rẻ, giao hàng nhanh, nên mua","Mua thêm 1 cái nữa xài cho đã, giá rẻ, giao hàng nhanh, nên mua",POS,0.992769539,POS,5,thegioididong
giá rẻ vận chuyển nhanh giao hàng nguyên vẹn. màn hình chất lượng,Giá rẻ vận chuyển nhanh giao hàng nguyên vẹn. Màn hình chất lượng,POS,0.992446542,POS,5,thegioididong
"giao hàng nhanh, nhân viên hỗ trợ nhiệt tình, đóng gói chắc chắn, cẩn thận","Giao hàng nhanh, nhân viên hỗ trợ nhiệt tình, đóng gói chắc chắn, cẩn thận",POS,0.991917074,POS,5,thegioididong
giao hàng cẩn thận đóng gói kĩ lưỡng shipper thân thiện,Giao hàng cẩn thận đóng gói kĩ lưỡng shipper thân thiện,POS,0.991887987,POS,5,thegioididong
shop tư vấn nhiệt tinh sản ohaarm đunhs mô tả cchat lương,shop tư vấn nhiệt tinh sản ohaarm đunhs mô tả cchat lương,POS,0.954286337,POS,5,thegioididong
"sony âm thanh hay, hình ảnh đẹp , kết nối mạng xem youtube ổn, đúng google tv. dịch vụ tư vấn nhiệt tình, bộ phận kỹ thuật giao hàng lắp ráp chuyên nghiệp, dễ thương","Sony âm thanh hay, hình ảnh đẹp , kết nối mạng xem YouTube ổn, đúng Google TV. Dịch vụ tư vấn nhiệt tình, bộ phận kỹ thuật giao hàng lắp ráp chuyên nghiệp, dễ thương",POS,0.992901981,POS,5,thegioididong
"giá cả tốt, áp mã giảm giá ok, tivi sony không cần bàn cãi về chất lượng","Giá cả tốt, áp mã giảm giá ok, tivi sony không cần bàn cãi về chất lượng",POS,0.99279058,POS,5,thegioididong
"hàng tốt chất lượng, giao nhanh","Hàng tốt chất lượng, giao nhanh",POS,0.987715304,POS,5,thegioididong
"ok đã nhận được hàng rồi, shop đóng gói bao bì cẩn thận, nguyên seal không đỗ vỡ, chất lượng chuẩn, hình ảnh sắc nét, sẽ tiếp tục ủng hộ shop tiếp, tks shop","Ok đã nhận được hàng rồi, shop đóng gói bao bì cẩn thận, nguyên seal không đỗ vỡ, chất lượng chuẩn, hình ảnh sắc nét, sẽ tiếp tục ủng hộ shop tiếp, tks shop",POS,0.992868602,POS,5,thegioididong
"tv mới 100 , màu đẹp. hợp với giá tiền, giao hàng nhanh. đóng gói kỹ. giá khuyến mãi tốt","Tv mới 100%, màu đẹp. Hợp với giá tiền, Giao hàng nhanh. Đóng gói kỹ. Giá khuyến mãi tốt",POS,0.992817879,POS,5,thegioididong
"đã nhận hàng và sử dụng tốt, hình ảnh sắc nét, giao hàng đảm bảo, nhanh","Đã nhận hàng và sử dụng tốt, hình ảnh sắc nét, giao hàng đảm bảo, nhanh",POS,0.992200077,POS,5,thegioididong
sản phẩm khá ok. xem khá đẹp,Sản phẩm khá ok. xem khá đẹp,POS,0.992884398,POS,5,thegioididong
đã dùng thử 3 ngày ổn cả mọi ng ơi. hình ảnh đẹp lắm. nên mua nhé mng,Đã dùng thử 3 ngày ổn cả mọi ng ơi. Hình ảnh đẹp lắm. Nên mua nhé mng,POS,0.992918909,POS,5,thegioididong
dịch vụ lắp đặt tận nhà cũng rất okelah và nhanh chóng nha,dịch vụ lắp đặt tận nhà cũng rất okelah và nhanh chóng nha,POS,0.991955876,POS,5,thegioididong
giao hàng nhanh. nhân viên tư vấn nhiệt tình. mặc dù mấy nay trời mưa to bão lũ vẫn giao hàng như dự kiến. shop rất có tâm nha mọi người. tặng shop 5 lần sau mình lại ủng hộ,Giao hàng nhanh. Nhân viên tư vấn nhiệt tình. Mặc dù mấy nay trời mưa to bão lũ vẫn giao hàng như dự kiến. Shop rất có tâm nha mọi người. tặng shop 5* lần sau mình lại ủng hộ,POS,0.992017627,POS,5,thegioididong
"giao hàng nhanh đóng gói cận thận ok, đã mua nhiều lần nhiều sản phẩm tùe nk ok","Giao hàng nhanh đóng gói cận thận OK, đã mua nhiều lần nhiều sản phẩm tùe NK OK",POS,0.992700577,POS,5,thegioididong
"shop giao hàng nhanh, giá tốt hơn so với thị trường, bh chính hãng đầy đủ, màn oled quá đẹp thật quá xứng đáng, nên mua nha mn","Shop giao hàng nhanh, giá tốt hơn so với thị trường, BH chính hãng đầy đủ, màn oled quá đẹp thật quá xứng đáng, nên mua nha mn",POS,0.99291575,POS,5,thegioididong
"nhân viên giao hàng tốt, kiểm tra trước khi giao, xe nguyễn kim gọi trc khi tới. nói chung là ưng ý. tv màn hình bự, âm thanh lớn, ổn áp.","Nhân viên giao hàng tốt, kiểm tra trước khi giao, xe Nguyễn kim gọi trc khi tới. Nói chung là ưng ý. TV màn hình bự, âm thanh lớn, ổn áp.",POS,0.992738903,POS,5,thegioididong
giao hàng nhanh. nhân viên lắp ráp nhiệt tình. nhân viên tư vấn cũng nhiệt tình. nên mua nha mn,Giao hàng nhanh. Nhân viên lắp ráp nhiệt tình. Nhân viên tư vấn cũng nhiệt tình. Nên mua nha mn,POS,0.992172003,POS,5,thegioididong
tốt trong tầm giá,Tốt trong tầm giá,POS,0.866010845,POS,5,thegioididong
"giao nhanh gói cẩn thận, tem mác đầy đủ, hàng chính hãng nha, giá tốt","Giao nhanh gói cẩn thận, Tem mác đầy đủ, hàng chính hãng nha, Giá tốt",POS,0.992737234,POS,5,thegioididong
"tv lg nanocell, chất lượng hình ảnh tốt, sắc nét hơn mấy dòng cũ","TV LG nanocell, chất lượng hình ảnh tốt, sắc nét hơn mấy dòng cũ",POS,0.992634356,POS,5,thegioididong
"shop giao đúng nanolcell 50inch chất lượng khá tốt, mua được lúc sale mạnh nên mua về rất ưng ý. nên mua nha mọi người","shop giao đúng nanolcell 50inch chất lượng khá tốt, mua được lúc sale mạnh nên mua về rất ưng ý. Nên mua nha mọi người",POS,0.992940307,POS,5,thegioididong
"ship nhanh, tivi rẻ đẹp, hiện đại, dễ sử dụng, có nhiều tính năng","Ship nhanh, tivi rẻ đẹp, hiện đại, dễ sử dụng, có nhiều tính năng",POS,0.992803633,POS,5,thegioididong
sp chất lượng tốt shop hỗ trợ nhiệt tình đóng gói cẩn thận,Sp chất lượng tốt shop hỗ trợ nhiệt tình đóng gói cẩn thận,POS,0.992768407,POS,5,thegioididong
"màn hình lg chất lượng tuyệt vời, nét căng, âm thanh hay cực.","Màn hình LG chất lượng tuyệt vời, nét căng, âm thanh hay cực.",POS,0.992897511,POS,5,thegioididong
"rất tốt, mua tốt nhất!","Rất tốt, mua tốt nhất!",POS,0.99288106,POS,5,thegioididong
sản phẩm ok,Sản phẩm ok,POS,0.955885887,POS,5,thegioididong
"shop giao hàng nhanh, giá tốt hơn so với thị trường, bh chính hãng đầy đủ, màn qled quá đẹp thật quá xứng đáng, nên mua nha mn","Shop giao hàng nhanh, giá tốt hơn so với thị trường, BH chính hãng đầy đủ, màn qled quá đẹp thật quá xứng đáng, nên mua nha mn",POS,0.992923141,POS,5,thegioididong
giao hàng cẩn thận giá xịn sò nói chung là rất ok cảm ơn nk,Giao hàng cẩn thận giá xịn sò nói chung là rất ok cảm ơn NK,POS,0.992379189,POS,5,thegioididong
tivi lg hàng chính hãng. màu sắc đẹp. góc nhìn rộng. âm thanh trong trẻo.,Tivi LG hàng chính hãng. Màu sắc đẹp. Góc nhìn rộng. Âm thanh trong trẻo.,POS,0.992781878,POS,5,thegioididong
